city_id,bynavn,bynavn_slug,location_preposition,confidence,reason,needs_manual_review
b6414434-38e4-4031-90a4-92f78221c89d,Aabenraa,aabenraa,i,high,default_city_town,false
e02e87b4-6bec-4aa8-af42-898cf30b988b,Aabybro,aabybro,i,high,default_city_town,false
3f19b59c-1244-44f5-95e4-f602d2341898,Aakirkeby,aakirkeby,i,high,default_city_town,false
2f694471-da30-4fce-a0b6-110be1819443,Aalborg,aalborg,i,high,default_city_town,false
9487c358-62f7-4420-9b11-ea57e4e86eef,Aalborg SV,aalborg-sv,i,high,default_city_town,false
dfcdbcca-e05b-4fd7-bfe6-ab06a42f8006,Aalborg SØ,aalborg-soe,i,high,default_city_town,false
646a5440-25e4-496c-a008-d6559f98aad8,Aalborg Øst,aalborg-oest,i,high,default_city_town,false
92777e24-38ce-4769-81f4-306266ee5101,Aalestrup,aalestrup,i,high,default_city_town,false
b0049d3f-2547-47f1-90b1-6cb8cff4776c,Aarhus C,aarhus-c,i,high,default_city_town,false
e113cca8-9052-4b3f-8322-4aa4c1f8c41e,Aarhus N,aarhus-n,i,high,default_city_town,false
a0ab749b-0609-42cc-a347-d5e90b06ac10,Aarhus V,aarhus-v,i,high,default_city_town,false
2fb11661-1494-4933-84f8-09ce8f9e59eb,Aars,aars,i,high,default_city_town,false
eca1075e-b4be-467f-9586-49f083f396ab,Aarup,aarup,i,high,default_city_town,false
419e88a1-d0a7-49ca-ac03-8bd6a0ff074e,Agedrup,agedrup,i,high,default_city_town,false
019985ea-3063-452b-b687-46ce4f3b099f,Agerbæk,agerbaek,i,high,default_city_town,false
f1fecfe6-8bd7-42eb-bab4-ba87531dc4b2,Agerskov,agerskov,i,high,default_city_town,false
48524720-8ac4-423c-a96d-dfd78512576a,Agersø,agersoe,på,high,island_or_named_area,false
1c5ebbfc-2a1a-4937-8689-d1a195ba815f,Albertslund,albertslund,i,high,default_city_town,false
948cf7d6-61ef-4815-a9d5-262e34041249,Allerød,alleroed,i,high,default_city_town,false
9bbff8e5-0e53-4190-a6a4-ee1449880c76,Allinge,allinge,i,high,default_city_town,false
9874f6e4-2532-45c6-85b8-afcb193cf649,Allingåbro,allingaabro,i,high,default_city_town,false
882ff7f4-628c-4c8a-863a-1040e711aeb4,Almind,almind,i,high,default_city_town,false
bb6427a7-540d-43af-98d4-a527f4292f70,Amager,amager,på,high,island_or_named_area,false
8906fcbe-63aa-4963-9941-e04776e54c78,Anholt,anholt,på,high,island_or_named_area,false
0a77d572-93e1-4dcc-b3d8-e8fd7f14e5da,Ans By,ans-by,i,high,default_city_town,false
5ac97051-9630-4de8-9299-f7102eae9729,Ansager,ansager,i,high,default_city_town,false
715a3c58-46bb-4933-a408-a53a307d5a77,Arden,arden,i,high,default_city_town,false
7d238b41-0955-49c1-be5e-f1605653040e,Asaa,asaa,i,high,default_city_town,false
34f523e3-2a5f-4858-9146-407bac4b91d9,Askeby,askeby,i,high,default_city_town,false
284c6c80-01e3-4f8d-b8bf-8230244db1b7,Askø,askoe,på,high,island_or_named_area,false
03bd6079-a48f-470d-b7f4-54e79255ed4b,Asnæs,asnaes,i,high,default_city_town,false
e2e85f8a-a1a3-41aa-a1bd-aa85d92b9b12,Asperup,asperup,i,high,default_city_town,false
7685d952-e67b-4811-9e1a-47f8b2e1e988,Assens,assens,i,high,default_city_town,false
57462d61-2ee4-4a24-9e9d-03117aad1ae5,Augustenborg,augustenborg,i,high,default_city_town,false
0c2da03d-b293-49d1-b6b7-e40d730c3e4f,Aulum,aulum,i,high,default_city_town,false
926000e6-a6fd-42c5-90dc-c048ae611aca,Auning,auning,i,high,default_city_town,false
55410a32-bc9b-4c25-9124-6443833e249c,Avernakø,avernakoe,på,high,island_or_named_area,false
3d0941bf-56b5-4121-8c65-d092f324a03f,Bagenkop,bagenkop,i,high,default_city_town,false
78e06f8e-1228-407b-9e6b-7f74380a5d10,Bagsværd,bagsvaerd,i,high,default_city_town,false
343e1b1b-eab5-4e88-b0f3-f4f9f5cd440c,Balle,balle,i,high,default_city_town,false
43d557fc-df8d-4fae-bd4b-428f846954ef,Ballerup,ballerup,i,high,default_city_town,false
070a1477-6cde-404e-bba4-f7bb695a7c7d,Bandholm,bandholm,i,high,default_city_town,false
1c909655-3139-4033-97bb-b10e280bee02,Barrit,barrit,i,high,default_city_town,false
42ee8ecd-254f-42e5-ae5b-6da2e2f8b68c,Barsø,barsoe,på,high,island_or_named_area,false
1909153c-ad44-48de-9857-41d0a6e90b14,Beder,beder,i,high,default_city_town,false
7ccb1989-67b6-4848-b8ca-73ff5870c669,Bedsted Thy,bedsted-thy,i,high,default_city_town,false
643f277b-c5a7-4802-84bb-cfb15a75cb41,Bevtoft,bevtoft,i,high,default_city_town,false
